English,Portuguese,Audio
Good morning! How are you today?,Bom dia! Como você está hoje?,[sound:001.mp3]
"I'm fine, thank you. And you?","Estou bem, obrigado(a). E você?",[sound:002.mp3]
My name is John.,Meu nome é John.,[sound:003.mp3]
Nice to meet you.,Prazer em conhecer você.,[sound:004.mp3]
Where are you from?,De onde você é?,[sound:005.mp3]
I'm from Brazil.,Eu sou do Brasil.,[sound:006.mp3]
What do you do for a living?,O que você faz da vida?,[sound:007.mp3]
I work from home.,Eu trabalho em casa.,[sound:008.mp3]
I study English every day.,Eu estudo inglês todos os dias.,[sound:009.mp3]
I want to speak English fluently.,Eu quero falar inglês fluentemente.,[sound:010.mp3]
